X,Y,OBJECTID,ADDRESS,FOLDERTYPE,FILENO,INDATE,ISSUEDATE,WORKDESC,SUBDESC,FOLDERSTATUSDESC,REFERENCEFILE,RESUNITS,CONSTRUCTVALUE,PROPINFOVALUE_WARD
596286.937480003,4805478.5,6672,2233 SNEAD RD.   ,SO Other Single Detached Dwelling,23-008891,2023/05/16 00:00:00+00,2023/06/05 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Final,,0,150000,6
594319.007550002,4803435.10224,6675,2484 SNOWHILL CRT.   ,SO Other Single Detached Dwelling,25-011284,2025/06/19 00:00:00+00,2025/06/30 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Final,,0,50000,3
599124.000000002,4799215.5,6680,320 SOUTH CRT.   ,SO Other Single Detached Dwelling,25-014985,2025/08/08 00:00:00+00,2025/08/18 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Issued,,0,170000,4
599124.000000002,4799215.5,6681,320 SOUTH CRT.   ,PL Plumbing,26-001216,2026/01/19 00:00:00+00,2026/01/29 00:00:00+00,External Plumbing - Alter/Replace,Single Detached Dwelling,Final,,,7000,4
598862.625000002,4799007.5,6682,3053 SOUTH DR.   ,SO Other Single Detached Dwelling,23-019446,2023/10/04 00:00:00+00,2023/10/20 00:00:00+00,New,Accessory Building,Final,ZC-559/23,0,195000,4
599064.500000002,4799229.0,6684,3133 SOUTH DR.   ,SO Other Single Detached Dwelling,25-024091,2025/12/17 00:00:00+00,2026/01/19 00:00:00+00,Addition,Single Detached Dwelling,Issued,ZC-953/25,0,400000,4
598816.108160002,4798890.77534,6688,3022 SOUTH DR.   ,SF New Single Detached Dwelling,25-023489,2025/12/08 00:00:00+00,2026/04/24 00:00:00+00,New,Single Detached Dwelling,Issued,ZC-994/25,1,1468000,4
598816.108160002,4798890.77534,6689,3022 SOUTH DR.   ,SO Other Single Detached Dwelling,26-001895,2026/01/30 00:00:00+00,2026/02/13 00:00:00+00,Demolition -Building,Single Detached Dwelling,Issued,,,20000,4
597882.687520002,4801599.5,6690,3370 SOUTH SERVICE RD.   ,CP Commercial,25-001650,2025/01/27 00:00:00+00,2025/01/31 00:00:00+00,Demolition -Building,Office,Final,,,238500,4
599769.750000002,4803965.5,6691,5050 SOUTH SERVICE RD.   ,CP Commercial,24-015679,2024/08/02 00:00:00+00,2024/12/16 00:00:00+00,Repair (No ZC Reqd),Office,Issued,,,50000,5
599769.750000002,4803965.5,6692,5050 SOUTH SERVICE RD.   ,CP Commercial,24-006786,2024/04/11 00:00:00+00,2024/07/16 00:00:00+00,Renovation,Office,Final,,,61975.7,5
600406.562480003,4804882.5,6694,5330 SOUTH SERVICE RD.   ,IP Industrial,26-002772,2026/02/17 00:00:00+00,2026/05/21 00:00:00+00,Demolition- Internal,Warehouse Facility,Issued,,,40000,5
598609.437480003,4802569.5,6697,4144 SOUTH SERVICE RD.   ,CP Commercial,23-001200,2023/01/20 00:00:00+00,2023/02/09 00:00:00+00,Fire Alarm (no ZC required),Day Care Facility,Final,,,3000,4
599655.991640002,4803849.84704,6701,5045 SOUTH SERVICE RD.   ,PL Plumbing,24-009631,2024/05/16 00:00:00+00,2024/06/20 00:00:00+00,Backflow Prevention Device,Commercial,Final,,,20000,5
599655.991640002,4803849.84704,6705,5045 SOUTH SERVICE RD.   ,CP Commercial,25-011311,2025/06/20 00:00:00+00,2025/07/16 00:00:00+00,Renovation,Office,Final,ZC-483/25,,325000,5
599655.991640002,4803849.84704,6706,5045 SOUTH SERVICE RD.   ,CP Commercial,23-015009,2023/07/31 00:00:00+00,2023/09/07 00:00:00+00,Renovation (No ZC Reqd),Office,Final,ZC-528/23,,374000,5
